,Title,Rate,Processeur,Windows Version,Carte Graphique,RAM,Disque Dur,Ecran,Poids,Price
32,Inspiron 14 7000,4.0,Processeur Intel® Core™ i7-1165G7 de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® Iris® Xe avec mémoire graphique partagée,8 Go de mémoire LPDDR4x intégrée à 4 267 MHz,Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i7-1165G7 de 11e génération,Windows 10 Famille 64 bits,"849,04 "
33,Nouveau Inspiron 14,4.1,Processeur mobile AMD Ryzen™ 7 5700U 8 coeurs/16 threads avec carte graphique Radeon™,Windows 10 Famille 64 bits,Carte graphique AMD Radeon™ avec mémoire graphique partagée,"8 Go, 1 x 8 Go de mémoire, DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur mobile AMD Ryzen™ 7 5700U 8 coeurs/16 threads avec carte graphique Radeon™,Windows 10 Famille 64 bits,"799,03 "
34,Inspiron 14 7000,4.0,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® Iris® Xe avec mémoire graphique partagée,8 Go de mémoire LPDDR4x intégrée à 4 267 MHz,Disque SSD M.2 PCIe NVMe de 256 Go,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 10 Famille 64 bits,"749,04 "
35,Inspiron 14,4.2,Processeur mobile AMD Ryzen™ 7 4700U avec carte graphique Radeon™,Windows 10 Famille 64 bits,Carte graphique AMD Radeon™ avec mémoire graphique partagée,"8 Go, 1 x 8 Go de mémoire, DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur mobile AMD Ryzen™ 7 4700U avec carte graphique Radeon™,Windows 10 Famille 64 bits,"649,03 "
36,Inspiron 14,4.2,Processeur mobile AMD Ryzen™ 5 4500U avec carte graphique Radeon™,Windows 10 Famille 64 bits,Carte graphique AMD Radeon™ avec mémoire graphique partagée,"8 Go, 1 x 8 Go de mémoire, DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur mobile AMD Ryzen™ 5 4500U avec carte graphique Radeon™,Windows 10 Famille 64 bits,
37,Nouveau Inspiron 14,4.1,Processeur mobile AMD Ryzen™ 5 5500U 6 coeurs/12 threads avec carte graphique Radeon™,Windows 10 Famille 64 bits,Carte graphique AMD Radeon™ avec mémoire graphique partagée,"8 Go, 1 x 8 Go de mémoire, DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur mobile AMD Ryzen™ 5 5500U 6 coeurs/12 threads avec carte graphique Radeon™,Windows 10 Famille 64 bits,"649,03 "
38,Nouveau Inspiron 15,4.6,Processeur mobile AMD Ryzen™ 5 5500U 6 coeurs/12 threads avec carte graphique Radeon™,Windows 10 Famille 64 bits,Carte graphique AMD Radeon™ avec mémoire graphique partagée,"8 Go, 1 x 8 Go de mémoire, DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur mobile AMD Ryzen™ 5 5500U 6 coeurs/12 threads avec carte graphique Radeon™,Windows 10 Famille 64 bits,"659,04 "
39,Nouveau Inspiron 14,4.1,Processeur mobile AMD Ryzen™ 5 5500U 6 coeurs/12 threads avec carte graphique Radeon™,Windows 10 Famille 64 bits,Carte graphique AMD Radeon™ avec mémoire graphique partagée,"8 Go, 1 x 8 Go de mémoire, DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 256 Go,Processeur mobile AMD Ryzen™ 5 5500U 6 coeurs/12 threads avec carte graphique Radeon™,Windows 10 Famille 64 bits,"629,04 "
40,Nouveau Inspiron 15,4.6,Processeur mobile AMD Ryzen™ 7 5700U 8 coeurs/16 threads avec carte graphique Radeon™,Windows 10 Famille 64 bits,Carte graphique AMD Radeon™ avec mémoire graphique partagée,"8 Go, 1 x 8 Go de mémoire, DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur mobile AMD Ryzen™ 7 5700U 8 coeurs/16 threads avec carte graphique Radeon™,Windows 10 Famille 64 bits,"809,04 "
41,Nouveau Inspiron 14,4.2,Processeur Intel® Core™ i5-11320H de 11e génération,Windows 11 Famille,Carte graphique Intel® Iris® Xe avec mémoire graphique partagée,"8 Go, 1 x 8 Go de mémoire, DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 256 Go,Processeur Intel® Core™ i5-11320H de 11e génération,Windows 11 Famille,"699,04 "
42,Nouveau Inspiron 14,4.2,Processeur Intel® Core™ i5-11320H de 11e génération,Windows 11 Famille,Carte graphique Intel® Iris® Xe avec mémoire graphique partagée,"8 Go, 2 x 4 Go, de mémoire DDR4, 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i5-11320H de 11e génération,Windows 11 Famille,"779,04 "
43,Nouveau Inspiron 14,4.2,Processeur Intel® Core™ i5-11300H de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® Iris® Xe avec mémoire graphique partagée,"8 Go, 1 x 8 Go de mémoire, DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 256 Go,Processeur Intel® Core™ i5-11300H de 11e génération,Windows 10 Famille 64 bits,
44,Nouveau Inspiron 14,4.2,11th Generation Intel® Core™ i7-11390H Processor,Windows 11 Famille,Carte graphique Intel® Iris® Xe avec mémoire graphique partagée,"8 Go, 2 x 4 Go, de mémoire DDR4, 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,11th Generation Intel® Core™ i7-11390H Processor,Windows 11 Famille,"869,04 "
45,Nouveau Inspiron 15,4.3,11th Generation Intel® Core™ i7-11390H Processor,Windows 11 Famille,Carte graphique Intel® Iris® Xe avec mémoire graphique partagée,"8 Go, 2 x 4 Go, de mémoire DDR4, 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,11th Generation Intel® Core™ i7-11390H Processor,Windows 11 Famille,"879,04 "
46,Nouveau Inspiron 14,4.2,Processeur Intel® Core™ i7-11370H de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® Iris® Xe avec mémoire graphique partagée,"8 Go, 2 x 4 Go, de mémoire DDR4, 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i7-11370H de 11e génération,Windows 10 Famille 64 bits,
47,Nouveau Inspiron 14,4.2,Processeur Intel® Core™ i5-11300H de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® Iris® Xe avec mémoire graphique partagée,"8 Go, 2 x 4 Go, de mémoire DDR4, 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i5-11300H de 11e génération,Windows 10 Famille 64 bits,
48,Nouveau Inspiron 15,4.3,11th Generation Intel® Core™ i5-11320H Processor,Windows 11 Famille,Carte graphique Intel® Iris® Xe avec mémoire graphique partagée,"8 Go, 2 x 4 Go, de mémoire DDR4, 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,11th Generation Intel® Core™ i5-11320H Processor,Windows 11 Famille,"779,04 "
49,Nouveau Inspiron 15 plus,3.9,Processeur Intel® Core™ i5-11400H de 11e génération,Windows 10 Famille 64 bits,Carte graphique NVIDIA® GeForce RTX™ 3050 avec 4 Go de mémoire GDDR6,"8 Go, 1 x 8 Go de mémoire, DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i5-11400H de 11e génération,Windows 10 Famille 64 bits,"1 049,18 "
50,Nouveau Inspiron 15,4.3,11th Generation Intel® Core™ i5-11320H Processor,Windows 11 Famille,Carte graphique Intel® Iris® Xe avec mémoire graphique partagée,"8 Go, 2 x 4 Go, de mémoire DDR4, 3 200 MHz",Disque SSD M.2 PCIe NVMe de 256 Go,11th Generation Intel® Core™ i5-11320H Processor,Windows 11 Famille,
51,Nouveau Inspiron 16 plus,4.1,Processeur Intel® Core™ i5-11400H de 11e génération,Windows 11 Famille,Carte graphique Intel® UHD,"8 Go, 2 x 4 Go de mémoire DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i5-11400H de 11e génération,Windows 11 Famille,"949,18 "
52,Nouveau Inspiron 15 plus,3.9,Processeur Intel® Core™ i5-11400H de 11e génération,Windows 11 Famille,Carte graphique NVIDIA® GeForce GTX® 1650 avec 4 Go de mémoire GDDR6,"8 Go, 1 x 8 Go de mémoire, DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i5-11400H de 11e génération,Windows 11 Famille,"999,18 "
53,Nouveau XPS 15,4.0,Processeur Intel® Core™ i5-10300H de 10e génération,Windows 10 Famille 64 bits,Carte graphique Intel® UHD,"8Go DDR4-2933MHz, 2x4Go",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i5-10300H de 10e génération,Windows 10 Famille 64 bits,"1 299,10 "
54,Nouveau XPS 13,4.4,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® Iris Xe,8 Go de mémoire intégrée LPDDR4x à 4 267 MHz,Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 10 Famille 64 bits,"999,08 "
55,Nouveau XPS 13,4.4,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 11 Famille,Carte graphique Intel® Iris Xe,8 Go de mémoire intégrée LPDDR4x à 4 267 MHz,Disque SSD M.2 PCIe NVMe de 256 Go,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 11 Famille,"949,09 "
56,Inspiron 17 2-en-1,4.3,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® Iris® Xe avec mémoire graphique partagée,"8 Go, 2 x 4 Go, de mémoire DDR4, 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 10 Famille 64 bits,"1 049,04 "
57,Nouveau Inspiron 13,3.1,Processeur Intel® Core™ i5-11300H de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® Iris® Xe avec mémoire graphique partagée,8 Go de mémoire LPDDR4x intégrée à 4 267 MHz,Disque SSD M.2 PCIe NVMe de 256 Go,Processeur Intel® Core™ i5-11300H de 11e génération,Windows 10 Famille 64 bits,"729,04 "
58,Nouveau Inspiron 13,3.1,Processeur Intel® Core™ i7-11370H de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® Iris® Xe avec mémoire graphique partagée,8 Go de mémoire LPDDR4x intégrée à 4 267 MHz,Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i7-11370H de 11e génération,Windows 10 Famille 64 bits,"899,04 "
59,Nouveau Inspiron 13,3.1,Processeur Intel® Core™ i5-11300H de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® Iris® Xe avec mémoire graphique partagée,8 Go de mémoire LPDDR4x intégrée à 4 267 MHz,Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i5-11300H de 11e génération,Windows 10 Famille 64 bits,"799,03 "
60,Nouveau Inspiron 13,3.1,Processeur Intel® Core™ i3-1125G4 de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® UHD avec mémoire graphique partagée,8 Go de mémoire LPDDR4x intégrée à 4 267 MHz,Disque SSD M.2 PCIe NVMe de 256 Go,Processeur Intel® Core™ i3-1125G4 de 11e génération,Windows 10 Famille 64 bits,"629,04 "
61,Nouveau Inspiron 14 2-in-1,4.2,Processeur Intel® Core™ i7-1165G7 de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® Iris® Xe avec mémoire graphique partagée,"8 Go, 2 x 4 Go de mémoire DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i7-1165G7 de 11e génération,Windows 10 Famille 64 bits,"879,05 "
62,Nouveau Inspiron 14 2-in-1,4.2,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® Iris® Xe avec mémoire graphique partagée,"8 Go, 2 x 4 Go de mémoire DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 10 Famille 64 bits,"849,04 "
63,Nouveau Inspiron 14 2-en-1,4.2,Processeur Intel® Core™ i3-1125G4 de 11e génération,Windows 11 Famille (mode S),Carte graphique Intel® UHD avec mémoire graphique partagée,"8 Go, 1 x 8 Go de mémoire, DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 256 Go,Processeur Intel® Core™ i3-1125G4 de 11e génération,Windows 11 Famille (mode S),"699,04 "
64,Inspiron 15 2-en-1,4.1,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® Iris® Xe avec mémoire graphique partagée,"8 Go, 2 x 4 Go, de mémoire DDR4, 3 200 MHz",Disque SSD M.2 PCIe NVMe de 256 Go,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 10 Famille 64 bits,"879,05 "
65,Nouveau XPS 17 - Configurez votre PC,3.3,Processeur Intel® Core™ i5-11400H de 11e génération,Windows 11 Famille,Carte graphique Intel® UHD,"8 Go, 2 x 4 Go de mémoire DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i5-11400H de 11e génération,Windows 11 Famille,
66,Nouveau XPS 15 - Configurez votre PC,4.0,Processeur Intel® Core™ i5-11400H de 11e génération,Windows 11 Famille,Carte graphique Intel® UHD,"8 Go, 2 x 4 Go de mémoire DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i5-11400H de 11e génération,Windows 11 Famille,
67,Inspiron 15 2-in-1,4.1,Processeur Intel® Core™ i7-1165G7 de 11e génération,Windows 11 Famille,Carte graphique Intel® Iris® Xe MAX avec 4 Go de mémoire LPDDR4x,16 Go de mémoire LPDDR4x intégrée à 3 200 MHz,Disque SSD M.2 PCIe NVMe de 1 To,Processeur Intel® Core™ i7-1165G7 de 11e génération,Windows 11 Famille,"1 499,04 "
68,Inspiron 15 3000,4.4,Processeur Intel® Pentium® Silver N5030,Windows 10 Famille (mode S) 64 bits,Carte graphique Intel® UHD 605 avec mémoire graphique partagée,"4 Go, 1 x 4 Go, de mémoire DDR4, 2 400 MHz",Disque SSD M.2 PCIe NVMe de 128 Go,Processeur Intel® Pentium® Silver N5030,Windows 10 Famille (mode S) 64 bits,"359,04 "
69,Inspiron 15 3000,4.1,Processeur mobile AMD Athlon™ Silver 3050U avec carte graphique Radeon™,Windows 10 Famille 64 bits,Carte graphique AMD Radeon™ avec mémoire graphique partagée,"4 Go, 1 x 4 Go, de mémoire DDR4, 2 400 MHz",Disque SSD M.2 PCIe NVMe de 256 Go,Processeur mobile AMD Athlon™ Silver 3050U avec carte graphique Radeon™,Windows 10 Famille 64 bits,"429,04 "
